logical line,EETS stanza,EETS sect.&st.,Myklebust line,Schümmer stanza
6721,878,5m3.2,5.414,259
6728,879,5m3.3,5.421,260
6735,880,5m3.4,5.428,261
6742,881,5m3.5,5.435,262
6749,882,5m3.6,5.442,263
6756,883,5m3.7,5.449,264
6763,884,5p4.1,5.456,265
6770,885,5p4.2,5.463,266
6777,886,5p4.3,5.470,267
6784,887,5p4.4,5.477,268
6791,888,5p4.5,5.484,269
6798,889,5p4.6,5.491,270
6805,890,5p4.7,5.498,271
6812,891,5p4.8,5.505,272
6819,892,5p4.9,5.512,273
6826,893,5p4.10,5.519,274
6833,894,5p4.11,5.526,275
6840,895,5p4.12,5.533,276
6847,896,5p4.13,5.540,277
6854,897,5p4.14,5.547,278
6861,898,5p4.15,5.554,279
6868,899,5p4.16,5.561,280
6875,900,5p4.17,5.568,281
6882,901,5p4.18,5.575,282
6889,902,5p4.19,5.582,283
6896,903,5p4.20,5.589,284
6903,904,5p4.21,5.596,285
6910,905,5p4.22,5.603,286
6917,906,5p4.23,5.610,287
6924,907,5p4.24,5.617,288
6931,908,5p4.25,5.624,289
6938,909,5p4.26,5.631,290
6945,910,5p4.27,5.638,291
6952,911,5p4.28,5.645,292
6959,912,5p4.29,5.652,293
6966,913,5p4.30,5.659,294
6973,914,5p4.31,5.666,295
6980,915,5p4.32,5.673,296
6987,916,5p4.33,5.680,297
6994,917,5p4.34,5.687,298
7001,918,5m4.1,5.694,299
7008,919,5m4.2,5.701,300
7015,920,5m4.3,5.708,301
7022,921,5m4.4,5.715,302
7029,922,5m4.5,5.722,303
7036,923,5m4.6,5.729,304
7043,924,5m4.7,5.736,305
7050,925,5m4.8,5.743,306
7057,926,5p5.1,5.750,307
7064,927,5p5.2,5.757,308
7071,928,5p5.3,5.764,309
7078,929,5p5.4,5.771,310
7085,930,5p5.5,5.778,311
7092,931,5p5.6,5.785,312
7099,932,5p5.7,5.792,313
7106,933,5p5.8,5.799,314
7113,934,5p5.9,5.806,315
7120,935,5p5.10,5.813,316
7127,936,5p5.11,5.820,317
7134,937,5p5.12,5.827,318
7141,938,5p5.13,5.834,319
7148,939,5p5.14,5.841,320
7155,940,5p5.15,5.848,321
7162,941,5p5.16,5.855,322
7169,942,5p5.17,5.862,323
7176,943,5m5.1,5.869,324
7183,944,5m5.2,5.876,325
7190,945,5m5.3,5.883,326
7197,946,5m5.4,5.890,327
7204,947,5m5.5,5.897,328
7211,948,5p6.1,5.904,329
7218,949,5p6.2,5.911,330
7225,950,5p6.3,5.918,331
7232,951,5p6.4,5.925,332
7239,952,5p6.5,5.932,333
7246,953,5p6.6,5.939,334
7253,954,5p6.7,5.946,335
7260,955,5p6.8,5.953,336
7267,956,5p6.9,5.960,337
7274,957,5p6.10,5.967,338
7281,958,5p6.11,5.974,339
7288,959,5p6.12,5.981,340
7295,960,5p6.13,5.988,341
7302,961,5p6.14,5.995,342
7309,962,5p6.15,5.1002,343
7316,963,5p6.16,5.1009,344
7323,964,5p6.17,5.1016,345
7330,965,5p6.18,5.1023,346
7337,966,5p6.19,5.1030,347
7344,967,5p6.20,5.1037,348
7351,968,5p6.21,5.1044,349
7358,969,5p6.22,5.1051,350
7365,970,5p6.23,5.1058,351
7372,971,5p6.24,5.1065,352
7379,972,5p6.25,5.1072,353
7386,973,5p6.26,5.1079,354
7393,974,5p6.27,5.1086,355
7400,975,5p6.28,5.1093,356
7407,976,5p6.29,5.1100,357
7414,977,5p6.30,5.1107,358
7421,978,5p6.31,5.1114,
7428,979,5p6.32,5.1121,
